# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
kritriu | kritri i→u | Teaching | The act or practice of teaching; instruction. [Verb -> Abstract Noun (act/process)] Senses: 1) teaching; 2) instruction
kuateu | kuate e→u | Crookedness | The quality or state of being crooked; crookedness. [Modifier -> Abstract Noun (quality)] Senses: 1) crookedness
kupiu | kupi i→u | Inquiry | The act of asking; an inquiry. [Verb -> Abstract Noun (act/process)] Senses: 1) inquiry; 2) questioning
kupmiu | kupmi i→u | Service | The act or provision of serving. [Verb -> Abstract Noun (act)] Senses: 1) service; 2) serving; 3) assistance
kuriu | kuri i→u | Fear | The experience of being afraid; fear, fright. [Verb -> Abstract Noun (act/process)] Senses: 1) fear; 2) fright; 3) dread
kypeu | kype e→u | Happiness | The state of being happy; happiness or joy. [Modifier -> Abstract Noun (quality)] Senses: 1) happiness; 2) joy; 3) gladness
laekiu | laeki i→u | Choice / Selection | The act of choosing, or the option chosen. [Verb -> Abstract Noun (act/result)] Senses: 1) choice; 2) selection; 3) option
lantiu | lanti i→u | Addition | The act of adding; addition. [Verb -> Abstract Noun (act/process)] Senses: 1) addition
laswitiu | laswiti i→u | Representation | The act of representing or standing for others. [Verb -> Abstract Noun (act/process)] Senses: 1) representation
lateu | late e→u | Total / Sum / Totality | The whole amount; the sum or total of all parts. [Modifier -> Abstract Noun (quality)] Senses: 1) total; 2) sum; 3) totality; 4) the whole
lefeu | lefe e→u | Hardness | The quality or state of being hard; hardness. [Modifier -> Abstract Noun (quality)] Senses: 1) hardness
lemespiu | lemespi i→u | Arrest | The act of seizing and holding a person by legal authority. [Verb -> Abstract Noun (act/process)] Senses: 1) arrest; 2) apprehension
letseu | letse e→u | Filth | The quality or state of being dirty; filth. [Modifier -> Abstract Noun (quality)] Senses: 1) filth; 2) dirtiness
lixeu | lixe e→u | Wetness | The quality or state of being wet; wetness. [Modifier -> Abstract Noun (quality)] Senses: 1) wetness
localeu | locale e→u | Locality | The quality or state of being local; locality. [Modifier -> Abstract Noun (quality)] Senses: 1) locality
lokiu | loki i→u | Reading | The act or activity of reading. [Verb -> Abstract Noun (act/process)] Senses: 1) reading
lomeu | lome e→u | Narrowness | The quality or state of being narrow; narrowness. [Modifier -> Abstract Noun (quality)] Senses: 1) narrowness
lopeu | lope e→u | Bluntness | The quality or state of being blunt; bluntness. [Modifier -> Abstract Noun (quality)] Senses: 1) bluntness; 2) dullness
lugeu | luge e→u | Skill / Ability | The state or capacity of being able. [Modifier -> Abstract Noun (quality/capacity)] Senses: 1) ability; 2) skill; 3) capability; 4) competence
luhaciu | luhaci i→u | Treatment | The act or course of treating or healing. [Verb -> Abstract Noun (act/process)] Senses: 1) treatment; 2) therapy; 3) care
lyseu | lyse e→u | Rightness | The quality or state of being right; rightness. [Modifier -> Abstract Noun (quality)] Senses: 1) rightness; 2) the right side
mafeheu | mafehe e→u | Perfection | The state of being perfect or flawless. [Modifier -> Abstract Noun (quality)] Senses: 1) perfection; 2) flawlessness
malxiu | malxi i→u | Dance | The art or act of dancing; a dance. [Verb -> Abstract Noun (act/process)] Senses: 1) dance; 2) dancing
manau | mana a→u | Motherhood | The state of being a mother; motherhood. [Biological Noun -> Abstract Noun (role/state)] Senses: 1) motherhood
mehefou | mehefo o→u | Navigation | The domain of finding one's way; navigation. [Concrete Noun -> Abstract Noun (domain)] Senses: 1) navigation; 2) wayfinding
mifau | mifa a→u | Wildlife | Animals collectively; wildlife, fauna. [Biological Noun -> Abstract Noun (role/state)] Senses: 1) wildlife; 2) fauna
moriu | mori i→u | Growth | The process of growing; growth. [Verb -> Abstract Noun (act/process)] Senses: 1) growth
moveu | move e→u | Vagueness | The quality or state of being vague; vagueness. [Modifier -> Abstract Noun (quality)] Senses: 1) vagueness; 2) fuzziness
movimpiu | movimpi i→u | Focus | Concentration of attention or energy; a center of interest. [Verb -> Abstract Noun (act/process)] Senses: 1) focus; 2) concentration
muileu | muile e→u | Difficulty | The quality or state of being difficult; difficulty. [Modifier -> Abstract Noun (quality)] Senses: 1) difficulty
naciu | naci i→u | Labor | Work as an activity or occupation; labor. [Verb -> Abstract Noun (act/process)] Senses: 1) labor; 2) employment
nafikeu | nafike e→u | Togetherness | The quality or state of being together; togetherness. [Modifier -> Abstract Noun (quality)] Senses: 1) togetherness; 2) unity
naglifiu | naglifi i→u | Insistence | The act or quality of insisting; persistent demand. [Verb -> Abstract Noun (act/process)] Senses: 1) insistence
naileu | naile e→u | Ease | The quality or state of being easy; ease. [Modifier -> Abstract Noun (quality)] Senses: 1) ease; 2) easiness
naraleu | narale e→u | Naturalness | The quality or state of being natural; naturalness. [Modifier -> Abstract Noun (quality)] Senses: 1) naturalness
nasau | nasa a→u | Flora | Plants collectively; flora, vegetation. [Biological Noun -> Abstract Noun (role/state)] Senses: 1) flora; 2) vegetation
nauxau | nauxa a→u | Friendship | The bond between friends; friendship. [Biological Noun -> Abstract Noun (role/state)] Senses: 1) friendship
negoxreu | negoxre e→u | Randomness | The quality or state of being random; randomness. [Modifier -> Abstract Noun (quality)] Senses: 1) randomness
nenojeu | nenoje e→u | Blindness | The quality or state of being blind; blindness. [Modifier -> Abstract Noun (quality)] Senses: 1) blindness
nofau | nofa a→u | Humanity / Humankind / Personhood | Human beings collectively; the human race; also the abstract quality of being a person (personhood). [Biological Noun -> Abstract Noun (role/state)] Senses: 1) humanity; 2) humankind; 3) the human race; 4) personhood
nokyu | noky y→u | Bottom | The nominalized region or position defined by 'down/below'; the lowest part. [Preposition -> Abstract Noun (region)] Senses: 1) bottom; 2) underside; 3) base
nomiu | nomi i→u | Eating | The act of eating; consumption. [Verb -> Abstract Noun (act/process)] Senses: 1) eating; 2) consumption
nufeu | nufe e→u | Emptiness | The quality or state of being empty; emptiness. [Modifier -> Abstract Noun (quality)] Senses: 1) emptiness
nunulpiu | nunulpi i→u | Cooperation / Collaboration | The act of working together. [Verb -> Abstract Noun (act/process)] Senses: 1) cooperation; 2) collaboration
nupau | nupa a→u | Parenthood | The state of being a parent; parenthood. [Biological Noun -> Abstract Noun (role/state)] Senses: 1) parenthood
nyxidiu | nyxidi i→u | Rental / Renting | The act of paying for temporary use; the payment made. [Verb -> Abstract Noun (act/process)] Senses: 1) rental; 2) renting
ocfeu | ocfe e→u | Falseness | The quality or state of being fake; falseness. [Modifier -> Abstract Noun (quality)] Senses: 1) falseness; 2) fakeness
oegeu | oege e→u | Secrecy | The quality or state of being secret; secrecy. [Modifier -> Abstract Noun (quality)] Senses: 1) secrecy
ojeseu | ojese e→u | Rarity | The quality or state of being rare; rarity. [Modifier -> Abstract Noun (quality)] Senses: 1) rarity; 2) rareness
okseu | okse e→u | Wrongness | The quality or state of being wrong; wrongness. [Modifier -> Abstract Noun (quality)] Senses: 1) wrongness
orveu | orve e→u | Toxicity | The quality or state of being poisonous; toxicity. [Modifier -> Abstract Noun (quality)] Senses: 1) toxicity; 2) poisonousness
ozepiu | ozepi i→u | Wish | A desire or hope for something; a wish. [Verb -> Abstract Noun (act/process)] Senses: 1) wish; 2) desire
pabiciu | pabici i→u | Analysis | A detailed examination of something's parts. [Verb -> Abstract Noun (act/process)] Senses: 1) analysis
pampigiu | pampigi i→u | Intention | A plan or aim to do something; an intention, purpose. [Verb -> Abstract Noun (act/process)] Senses: 1) intention; 2) purpose; 3) intent
panou | pano o→u | Literature | The domain of books and written works; literature. [Concrete Noun -> Abstract Noun (domain)] Senses: 1) literature
pateu | pate e→u | Savoriness | The quality or state of being umami; savoriness. [Modifier -> Abstract Noun (quality)] Senses: 1) savoriness; 2) umami
pebau | peba a→u | Fatherhood | The state of being a father; fatherhood. [Biological Noun -> Abstract Noun (role/state)] Senses: 1) fatherhood
peteswiu | peteswi i→u | Spending / Expenditure | The act of paying out money. [Verb -> Abstract Noun (act/process)] Senses: 1) spending; 2) expenditure
pilkeu | pilke e→u | Vitality | The quality or state of being alive; vitality. [Modifier -> Abstract Noun (quality)] Senses: 1) vitality; 2) aliveness
pimpefeu | pimpefe e→u | Availability | The state of being available. [Modifier -> Abstract Noun (quality)] Senses: 1) availability
piseu | pise e→u | Sourness | The quality or state of being sour; sourness. [Modifier -> Abstract Noun (quality)] Senses: 1) sourness
pliu | pli i→u | Arrival | The act of coming or arriving. [Verb -> Abstract Noun (act/process)] Senses: 1) arrival; 2) coming
plolsou | plolso o→u | the abstract concept of monetary value | The abstract concept of monetary value; finance. [Concrete Noun -> Abstract Noun (domain)] Senses: 1) the abstract concept of monetary value
pobreu | pobre e→u | Poverty | The quality or state of being poor; poverty. [Modifier -> Abstract Noun (quality)] Senses: 1) poverty
popepeu | popepe e→u | Coolness | The quality or state of being cool; coolness. [Modifier -> Abstract Noun (quality)] Senses: 1) coolness
poziu | pozi i→u | Thought | The act or product of thinking. [Verb -> Abstract Noun (act/result)] Senses: 1) thought; 2) idea; 3) thinking; 4) opinion
puveu | puve e→u | Cheapness | The quality or state of being cheap; cheapness. [Modifier -> Abstract Noun (quality)] Senses: 1) cheapness
pyqeu | pyqe e→u | Rudeness | The quality or state of being rude; rudeness. [Modifier -> Abstract Noun (quality)] Senses: 1) rudeness
ratseu | ratse e→u | Danger | The state or condition of being dangerous. [Modifier -> Abstract Noun (state)] Senses: 1) danger; 2) peril; 3) hazard; 4) risk
raureu | raure e→u | Ugliness | The quality or state of being ugly; ugliness. [Modifier -> Abstract Noun (quality)] Senses: 1) ugliness
retibiu | retibi i→u | Return | The act of returning; a return. [Verb -> Abstract Noun (act/process)] Senses: 1) return; 2) homecoming
rewyu | rewy y→u | Distance | The nominalized measure defined by 'far'; the extent of separation. [Preposition -> Abstract Noun (measure)] Senses: 1) distance; 2) farness; 3) range
ricodou | ricodo o→u | Mining | The domain of extracting ore from the ground; mining. [Concrete Noun -> Abstract Noun (domain)] Senses: 1) mining
rinteu | rinte e→u | Richness | The quality or state of being rich; richness. [Modifier -> Abstract Noun (quality)] Senses: 1) richness
ripeu | ripe e→u | Heat | The quality or state of being hot; heat. [Modifier -> Abstract Noun (quality)] Senses: 1) heat; 2) hotness
riwifreu | riwifre e→u | Bankruptcy | The state of being unable to pay one's debts. [Modifier -> Abstract Noun (quality)] Senses: 1) bankruptcy; 2) insolvency
roaseu | roase e→u | Slowness | The quality or state of being slow; slowness. [Modifier -> Abstract Noun (quality)] Senses: 1) slowness
rodipeu | rodipe e→u | Thirst | The quality or state of being thirsty; thirst. [Modifier -> Abstract Noun (quality)] Senses: 1) thirst
rodleu | rodle e→u | Truth / Fact | The quality or state of being true; that which is true. [Modifier -> Abstract Noun (quality)] Senses: 1) truth; 2) fact; 3) reality; 4) veracity
roqteu | roqte e→u | Seriousness | The quality or state of being serious; seriousness. [Modifier -> Abstract Noun (quality)] Senses: 1) seriousness; 2) gravity
roweu | rowe e→u | Width / Breadth | The measure of being wide. [Modifier -> Abstract Noun (measure)] Senses: 1) width; 2) breadth
rudseu | rudse e→u | Roughness | The quality or state of being rough; roughness. [Modifier -> Abstract Noun (quality)] Senses: 1) roughness
ruteu | rute e→u | Sharpness | The quality or state of being sharp; sharpness. [Modifier -> Abstract Noun (quality)] Senses: 1) sharpness
ruxigiu | ruxigi i→u | Indication | A sign that points something out. [Verb -> Abstract Noun (act/process)] Senses: 1) indication; 2) sign
ruzeu | ruze e→u | Speed | The quality or degree of being fast. [Modifier -> Abstract Noun (quality)] Senses: 1) speed; 2) quickness; 3) velocity; 4) pace
satsiu | satsi i→u | Blow | The act of hitting; a blow or impact. [Verb -> Abstract Noun (act/process)] Senses: 1) blow; 2) impact
sazau | saza a→u | Sisterhood | The bond or state of sisters; sisterhood. [Biological Noun -> Abstract Noun (role/state)] Senses: 1) sisterhood
sejiu | seji i→u | Stop / Halt | The act of stopping; a halt, cessation. [Verb -> Abstract Noun (act/process)] Senses: 1) stop; 2) halt; 3) cessation
skiwiu | skiwi i→u | Control | The act or state of controlling; control. [Verb -> Abstract Noun (act/process)] Senses: 1) control; 2) command
smezeu | smeze e→u | Rawness | The quality or state of being raw; rawness. [Modifier -> Abstract Noun (quality)] Senses: 1) rawness
snibexeu | snibexe e→u | Humidity | The quality or state of being humid; humidity. [Modifier -> Abstract Noun (quality)] Senses: 1) humidity
solfiu | solfi i→u | Solution | The answer to or resolution of a problem; a solution. [Verb -> Abstract Noun (act/process)] Senses: 1) solution; 2) resolution
soneu | sone e→u | Spiciness | The quality or state of being spicy; spiciness. [Modifier -> Abstract Noun (quality)] Senses: 1) spiciness; 2) pungency
stomiu | stomi i→u | Giving | The act of giving; provision, donation. [Verb -> Abstract Noun (act/process)] Senses: 1) giving; 2) provision; 3) donation
stuzygiu | stuzygi i→u | Reversal / Undoing | The act or result of reversing an action; a reversal. [Verb -> Abstract Noun (act/process)] Senses: 1) reversal; 2) undoing
sudiu | sudi i→u | Pressure | Pressure; the force applied to a surface, or the state of being pressed (physical or figurative). [Verb -> Noun (abstract)] Senses: 1) pressure; 2) the force of pressing
tandeu | tande e→u | Size / Bigness | The measure or quality of being big. [Modifier -> Abstract Noun (measure)] Senses: 1) size; 2) bigness; 3) magnitude
taqau | taqa a→u | Brotherhood | The bond or state of brothers; brotherhood. [Biological Noun -> Abstract Noun (role/state)] Senses: 1) brotherhood
tatesmiu | tatesmi i→u | Recovery | The process of returning to health. [Verb -> Abstract Noun (act/process)] Senses: 1) recovery
toceu | toce e→u | Contrition | The quality or state of being sorry; contrition. [Modifier -> Abstract Noun (quality)] Senses: 1) contrition; 2) remorse
todyu | tody y→u | Top | The nominalized region or position defined by 'up/above'; the highest part. [Preposition -> Abstract Noun (region)] Senses: 1) top; 2) upper part; 3) summit
toiliu | toili i→u | Loan | The act of lending, or the thing lent. [Verb -> Abstract Noun (act/result)] Senses: 1) loan; 2) lending
tsakeu | tsake e→u | Anger | The quality or state of being angry; anger. [Modifier -> Abstract Noun (quality)] Senses: 1) anger
tsiu | tsi i→u | Departure | The act of leaving; departure. [Verb -> Abstract Noun (act/process)] Senses: 1) departure; 2) leaving
tuteu | tute e→u | Sweetness | The quality or state of being sweet; sweetness. [Modifier -> Abstract Noun (quality)] Senses: 1) sweetness
ubmeu | ubme e→u | Publicity | The quality or state of being public; publicity. [Modifier -> Abstract Noun (quality)] Senses: 1) publicity; 2) publicness
ucdeu | ucde e→u | Pride | The quality or state of being proud; pride. [Modifier -> Abstract Noun (quality)] Senses: 1) pride
udceu | udce e→u | Tightness | The quality or state of being tight; tightness. [Modifier -> Abstract Noun (quality)] Senses: 1) tightness
umetiu | umeti i→u | Advice / Suggestion | The act of suggesting, or the suggestion offered. [Verb -> Abstract Noun (act/result)] Senses: 1) advice; 2) suggestion; 3) recommendation
upfeu | upfe e→u | Inequality | The quality or state of being unequal; inequality. [Modifier -> Abstract Noun (quality)] Senses: 1) inequality
usateu | usate e→u | Straightness | The quality or state of being straight; straightness. [Modifier -> Abstract Noun (quality)] Senses: 1) straightness
usiu | usi i→u | Slumber | The state or act of sleeping; slumber. [Verb -> Abstract Noun (act/process)] Senses: 1) slumber
uxbeu | uxbe e→u | Looseness | The quality or state of being loose; looseness. [Modifier -> Abstract Noun (quality)] Senses: 1) looseness
vekeu | veke e→u | Lowness | The quality or state of being low; lowness. [Modifier -> Abstract Noun (quality)] Senses: 1) lowness; 2) shortness
viceu | vice e→u | Courage / Bravery | The quality of being brave. [Modifier -> Abstract Noun (quality)] Senses: 1) courage; 2) bravery; 3) valor
vildeu | vilde e→u | Directness | The quality or state of being direct; directness. [Modifier -> Abstract Noun (quality)] Senses: 1) directness
vokreu | vokre e→u | Greed | The quality or state of being greedy; greed. [Modifier -> Abstract Noun (quality)] Senses: 1) greed
vyheu | vyhe e→u | Mildness | The quality or state of being mild; mildness. [Modifier -> Abstract Noun (quality)] Senses: 1) mildness; 2) blandness
vyziu | vyzi i→u | Escape | The act of escaping; an escape. [Verb -> Abstract Noun (act/process)] Senses: 1) escape; 2) getaway
wageu | wage e→u | Softness | The quality or state of being soft; softness. [Modifier -> Abstract Noun (quality)] Senses: 1) softness
waneu | wane e→u | The left | The left-hand side or direction; the left. [Modifier -> Abstract Noun (quality)] Senses: 1) the left; 2) left side
wapseu | wapse e→u | Flatness | The quality or state of being flat; flatness. [Modifier -> Abstract Noun (quality)] Senses: 1) flatness
waskeu | waske e→u | Age | The quality or state of being old; age. [Modifier -> Abstract Noun (quality)] Senses: 1) age; 2) oldness
waxiu | waxi i→u | Exercise | Physical activity done to stay fit; exercise. [Verb -> Abstract Noun (act/process)] Senses: 1) exercise; 2) workout
wazeu | waze e→u | Weakness | The quality or state of being weak; weakness. [Modifier -> Abstract Noun (quality)] Senses: 1) weakness
weceu | wece e→u | Wellness | The quality or state of being well; wellness. [Modifier -> Abstract Noun (quality)] Senses: 1) wellness
wembiziu | wembizi i→u | Donation | Money or goods given freely to a person or cause. [Verb -> Abstract Noun (act/process)] Senses: 1) donation
weokeu | weoke e→u | Roundness | The quality or state of being round; roundness. [Modifier -> Abstract Noun (quality)] Senses: 1) roundness
wogiu | wogi i→u | Hopefulness | The state of hoping; hopefulness or aspiration. [Verb -> Abstract Noun (act/process)] Senses: 1) hopefulness; 2) aspiration
woseu | wose e→u | Shortness | The quality or state of being short; shortness. [Modifier -> Abstract Noun (quality)] Senses: 1) shortness
wukeu | wuke e→u | Dryness | The quality or state of being dry; dryness. [Modifier -> Abstract Noun (quality)] Senses: 1) dryness
wydeu | wyde e→u | Safety | The state of being safe. [Modifier -> Abstract Noun (state)] Senses: 1) safety; 2) security; 3) protection
xareu | xare e→u | Clarity | The quality or state of being clear; clarity. [Modifier -> Abstract Noun (quality)] Senses: 1) clarity; 2) clearness
xempiu | xempi i→u | Practice / Training | The act of practicing or training; practice. [Verb -> Abstract Noun (act/process)] Senses: 1) practice; 2) training; 3) rehearsal
xibiu | xibi i→u | Promise | A commitment to do something; a promise, pledge. [Verb -> Abstract Noun (act/process)] Senses: 1) promise; 2) pledge
xiveu | xive e→u | Expensiveness | The quality or state of being expensive; expensiveness. [Modifier -> Abstract Noun (quality)] Senses: 1) expensiveness; 2) costliness
xujiliu | xujili i→u | Upload | The act of sending data to a remote system. [Verb -> Abstract Noun (act/process)] Senses: 1) upload
xygeu | xyge e→u | Thinness | The quality or state of being thin; thinness. [Modifier -> Abstract Noun (quality)] Senses: 1) thinness
ynafeu | ynafe e→u | Deliciousness | The quality or state of being tasty; deliciousness. [Modifier -> Abstract Noun (quality)] Senses: 1) deliciousness; 2) tastiness
zaveu | zave e→u | Height | The measure or quality of being high or tall. [Modifier -> Abstract Noun (measure)] Senses: 1) height; 2) altitude; 3) tallness
zetyu | zety y→u | Topic | The matter under discussion; a topic, subject. [Preposition -> Abstract Noun (relation)] Senses: 1) topic; 2) subject; 3) matter
ziheu | zihe e→u | Fame | The quality or state of being famous; fame. [Modifier -> Abstract Noun (quality)] Senses: 1) fame
zikuzou | zikuzo o→u | Banking | The domain of banks and money management; banking, finance. [Concrete Noun -> Abstract Noun (domain)] Senses: 1) banking; 2) finance
zodeu | zode e→u | Loudness | The quality or state of being loud; loudness. [Modifier -> Abstract Noun (quality)] Senses: 1) loudness; 2) noisiness

=== Modifier — 751 entries ===
abecoe | abeco o→e | Plane-like | Made of, resembling, or relating to plane. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) plane-like; 2) resembling plane
absue | absu u→e | Sensible | Characterized by or relating to sense; sensible. [Abstract Noun -> Modifier (characterized by)] Senses: 1) sensible
acinae | acina a→e | Claw-like | Made of, resembling, or relating to claw. [Biological Noun -> Modifier (like)] Senses: 1) claw-like; 2) resembling claw
acrye | acry y→e | Transverse | Lying or oriented across something; transverse. [Preposition -> Modifier (positioned)] Senses: 1) transverse; 2) crosswise
adihue | adihu u→e | Conscious | Characterized by or relating to consciousness; conscious. [Abstract Noun -> Modifier (characterized by)] Senses: 1) conscious
adrebue | adrebu u→e | Gradual | Characterized by or relating to degree; gradual. [Abstract Noun -> Modifier (characterized by)] Senses: 1) gradual
adyvoe | adyvo o→e | Umbrella-like | Made of, resembling, or relating to umbrella. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) umbrella-like; 2) resembling umbrella
afxoe | afxo o→e | Ash-like | Made of, resembling, or relating to ash. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) ash-like; 2) resembling ash
afymue | afymu u→e | Economic | Characterized by or relating to economy; economic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) economic
agcue | agcu u→e | Erroneous | Characterized by or relating to mistake; erroneous. [Abstract Noun -> Modifier (characterized by)] Senses: 1) erroneous
agmie | agmi i→e | Sticky | Tending toward, or involving, the action 'glue'. [Verb -> Modifier (prone to)] Senses: 1) sticky; 2) adhesive; 3) gluey
agsoe | agso o→e | Drought-like | Made of, resembling, or relating to drought. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) drought-like; 2) resembling drought
ajogoe | ajogo o→e | Cart-like | Made of, resembling, or relating to cart. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) cart-like; 2) resembling cart
ambye | amby y→e | Substitute | Standing in place of another; substitute, stand-in. [Preposition -> Modifier (positioned)] Senses: 1) substitute; 2) stand-in; 3) replacement
aplae | apla a→e | Apple-like | Made of, resembling, or relating to apple. [Biological Noun -> Modifier (like)] Senses: 1) apple-like; 2) resembling apple
arloe | arlo o→e | Of lightning | Made of, resembling, or relating to lightning. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) of lightning; 2) lightning-struck; 3) electric-storm
artetae | arteta a→e | Fruit-like | Made of, resembling, or relating to fruit. [Biological Noun -> Modifier (like)] Senses: 1) fruit-like; 2) resembling fruit
artue | artu u→e | Artistic | Characterized by or relating to art; artistic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) artistic
askue | asku u→e | Rational | Characterized by or relating to reason; rational. [Abstract Noun -> Modifier (characterized by)] Senses: 1) rational
astlue | astlu u→e | Interested | Feeling interest in something; engaged, curious. [Abstract Noun -> Modifier (characterized by)] Senses: 1) interested; 2) engaged
atilue | atilu u→e | Believing | Characterized by or relating to belief; believing. [Abstract Noun -> Modifier (characterized by)] Senses: 1) believing
atobue | atobu u→e | Field-related | Characterized by or relating to field; field-related. [Abstract Noun -> Modifier (characterized by)] Senses: 1) field-related
atripoe | atripo o→e | Train-like | Made of, resembling, or relating to train. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) train-like; 2) resembling train
avlye | avly y→e | Parallel | Running alongside; parallel. [Preposition -> Modifier (positioned)] Senses: 1) parallel; 2) alongside
avmoe | avmo o→e | Nail-like | Made of, resembling, or relating to nail. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) nail-like; 2) resembling nail
axritsoe | axritso o→e | Dune-like | Made of, resembling, or relating to dune. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) dune-like; 2) resembling dune
axvue | axvu u→e | Allied | Characterized by or relating to alliance; allied. [Abstract Noun -> Modifier (characterized by)] Senses: 1) allied
azikue | aziku u→e | Regulatory | Characterized by or relating to rule; regulatory. [Abstract Noun -> Modifier (characterized by)] Senses: 1) regulatory
azmue | azmu u→e | Compassionate | Characterized by or relating to sympathy; compassionate. [Abstract Noun -> Modifier (characterized by)] Senses: 1) compassionate
azoe | azo o→e | Bowl-like | Made of, resembling, or relating to bowl. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) bowl-like; 2) resembling bowl
badujue | baduju u→e | Marked by omen | Characterized by or marked by omen. [Abstract Noun -> Modifier (characterized by)] Senses: 1) ominous; 2) foreboding; 3) ill-omened
baharae | bahara a→e | Palm-like | Made of, resembling, or relating to palm. [Biological Noun -> Modifier (like)] Senses: 1) palm-like; 2) resembling palm
bambodoe | bambodo o→e | Sponge-like | Made of, resembling, or relating to sponge. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) sponge-like; 2) resembling sponge
banoskoe | banosko o→e | Breeze-like | Made of, resembling, or relating to breeze. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) breeze-like; 2) resembling breeze
batae | bata a→e | Edible | Suitable as food; edible or food-like. [Biological Noun -> Modifier (like)] Senses: 1) edible; 2) food-like
baxye | baxy y→e | Rear | Positioned behind; rear, hind. [Preposition -> Modifier (positioned)] Senses: 1) rear; 2) hind; 3) back
beglonoe | beglono o→e | Of honey | Made of, resembling, or relating to honey. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) of honey; 2) honeyed; 3) sticky-sweet
belae | bela a→e | Foot-like | Made of, resembling, or relating to foot. [Biological Noun -> Modifier (like)] Senses: 1) foot-like; 2) resembling foot
belimoe | belimo o→e | Shoe-like | Made of, resembling, or relating to shoe. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) shoe-like; 2) resembling shoe
beqye | beqy y→e | Far-side | Lying beyond; on the far side, ulterior. [Preposition -> Modifier (positioned)] Senses: 1) far-side; 2) ulterior
bexoe | bexo o→e | Air-like | Made of, resembling, or relating to air. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) air-like; 2) resembling air
bibae | biba a→e | Baby-like | Made of, resembling, or relating to baby. [Biological Noun -> Modifier (like)] Senses: 1) baby-like; 2) resembling baby
bieroe | biero o→e | Beer-like | Made of, resembling, or relating to beer. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) beer-like; 2) resembling beer
bilyhoe | bilyho o→e | Potion-like | Made of, resembling, or relating to potion. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) potion-like; 2) resembling potion
bimedue | bimedu u→e | Monday | Relating to or occurring on Monday. [Abstract Noun -> Modifier (characterized by)] Senses: 1) of monday
bipe | bip →e | Firstly / Originally / Original | Being the first or earliest; done first; original. [Particle -> Modifier (nominalized)] Senses: 1) original; 2) first; 3) originally
biwue | biwu u→e | Problematic | Characterized by or relating to problem; problematic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) problematic
biznue | biznu u→e | Corporate | Characterized by or relating to company; corporate. [Abstract Noun -> Modifier (characterized by)] Senses: 1) corporate
bizomoe | bizomo o→e | Ingot-like | Made of, resembling, or relating to ingot. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) ingot-like; 2) resembling ingot
bloboe | blobo o→e | Axe-like | Made of, resembling, or relating to axe. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) axe-like; 2) resembling axe
blunue | blunu u→e | Meaningful | Characterized by or relating to meaning; meaningful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) meaningful
bofamae | bofama a→e | Wrist-like | Made of, resembling, or relating to wrist. [Biological Noun -> Modifier (like)] Senses: 1) wrist-like; 2) resembling wrist
bogue | bogu u→e | Forceful | Characterized by or relating to force; forceful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) forceful
bojae | boja a→e | Bloody | Made of, resembling, or relating to blood; bloody. [Biological Noun -> Modifier (like)] Senses: 1) bloody
borpoe | borpo o→e | Potted | Made of, resembling, or relating to pot. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) potted; 2) in a pot; 3) pot-held
boslie | bosli i→e | Hasty | Inclined to hurry; hasty, rushed. [Verb -> Modifier (prone to)] Senses: 1) hasty; 2) hurried
botoe | boto o→e | Boat-like | Made of, resembling, or relating to boat. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) boat-like; 2) resembling boat
